canonical,alias
Самара, самара
Самара, samara
Самара, Samara
Москва,moscow
Москва,москва
Санкт-Петербург,saint petersburg
Санкт-Петербург,spb
Санкт-Петербург,санкт-петербург
Санкт-Петербург,санктпетербург
Санкт-Петербург,питер
Новосибирск,novosibirsk
Новосибирск,новосибирск
Екатеринбург,ekaterinburg
Екатеринбург,yekaterinburg
Екатеринбург,екатеринбург
Казань,kazan
Казань,казань
Нижний Новгород,nizhny novgorod
Нижний Новгород,нижний новгород
Ростов-на-Дону,rostov-na-donu
Ростов-на-Дону,rostov
Ростов-на-Дону,ростов-на-дону
Ростов-на-Дону,ростов
Краснодар,krasnodar
Краснодар,краснодар
Сочи,sochi
Сочи,сочи
Владивосток,vladivostok
Владивосток,владивосток
Уфа,ufa
Уфа,уфа
Омск,omsk
Омск,омск
Пермь,perm
Пермь,пермь
Волгоград,volgograd
Волгоград,волгоград
Саратов,saratov
Саратов,саратов
Красноярск,krasnoyarsk
Красноярск,красноярск
Челябинск,chelyabinsk
Челябинск,челябинск
Иркутск,irkutsk
Иркутск,иркутск
Калининград,kaliningrad
Калининград,калининград
Ульяновск,ulyanovsk
Ульяновск,ульяновск
Архангельск,arkhangelsk
Архангельск,архангельск
Хабаровск,khabarovsk
Хабаровск,хабаровск
Махачкала,mahachkala
Махачкала,махачкала
